player_name,team_name,role_group,age,minutes_played,performance_percentile,decision,blocked_by_player,blocked_by_minutes,blocked_by_performance_percentile
Vladimír Coufal,West Ham,Defender,31.0,1067.0,26.78,Monitor,Max Kilman,3348.0,77.05
Andy Irving,West Ham,Midfielder,24.0,166.0,14.55,Monitor,Tomáš Souček,2567.0,70.91
Edson Álvarez,West Ham,Midfielder,26.0,1772.0,30.0,Monitor,Tomáš Souček,2567.0,70.91
Guido Rodríguez,West Ham,Midfielder,30.0,1149.0,40.91,Monitor,Tomáš Souček,2567.0,70.91
James Ward-Prowse,West Ham,Midfielder,29.0,1039.0,36.36,Monitor,Tomáš Souček,2567.0,70.91
Lewis Orford,West Ham,Midfielder,18.0,49.0,60.0,Give More Chances,Tomáš Souček,2567.0,70.91
Carlos Forbs,Wolves,AttMidWinger,20.0,239.0,15.84,Loan,Matheus Cunha,2597.0,93.07
Daniel Podence,Wolves,AttMidWinger,28.0,48.0,2.97,Monitor,Matheus Cunha,2597.0,93.07
Gonçalo Guedes,Wolves,AttMidWinger,27.0,995.0,68.32,Give More Chances,Matheus Cunha,2597.0,93.07
Hwang Hee-chan,Wolves,AttMidWinger,28.0,661.0,38.61,Monitor,Matheus Cunha,2597.0,93.07
Jean-Ricner Bellegarde,Wolves,AttMidWinger,26.0,1677.0,64.36,Give More Chances,Matheus Cunha,2597.0,93.07
Marshall Munetsi,Wolves,AttMidWinger,28.0,1078.0,42.08,Monitor,Matheus Cunha,2597.0,93.07
Pablo Sarabia,Wolves,AttMidWinger,32.0,814.0,81.19,Give More Chances,Matheus Cunha,2597.0,93.07
Alfie Pond,Wolves,Defender,20.0,1.0,2.19,Loan,Rayan Aït-Nouri,3109.0,18.58
Daniel Bentley,Wolves,Goalkeeper,31.0,180.0,34.09,Sell,José Sá,2609.0,36.36
Sam Johnstone,Wolves,Goalkeeper,31.0,630.0,13.64,Sell,José Sá,2609.0,36.36
Tom King,Wolves,Goalkeeper,29.0,1.0,10.23,Monitor,José Sá,2609.0,36.36
Boubacar Traoré,Wolves,Midfielder,22.0,1.0,6.36,Loan,João Gomes,2974.0,40.0
Chiquinho,Wolves,Midfielder,24.0,7.0,6.36,Monitor,João Gomes,2974.0,40.0
Mateus Mane,Wolves,Midfielder,0.0,2.0,6.36,Loan,João Gomes,2974.0,40.0
